600312-600089,0.061575,2.337764,0.101464,:,1.537704,0.062450,2.136619,True
600895-600694,0.564661,0.056448,0.030552,:,1.627517,0.040039,2.559555,False
600406-600312,1.001195,0.279025,0.053897,:,1.593116,0.115537,2.237870,False
600694-000728,0.770537,1.562578,0.030344,:,1.489838,0.062987,2.631926,False
600694-600266,0.979861,1.147697,0.036374,:,1.634650,0.034094,2.622119,False
600694-600369,0.675047,1.799753,0.027880,:,1.770299,0.050317,2.849384,False
600694-600120,0.915177,1.016789,0.035305,:,1.562744,0.036600,2.471836,False
600694-002393,0.765130,0.523469,0.018896,:,1.728505,0.034026,3.417566,False
600694-600366,1.347480,-0.296260,0.120135,:,1.313847,0.343484,2.492868,False
600694-600389,0.784970,0.475459,0.024179,:,1.535962,0.054160,3.655039,False
600694-600522,1.016139,0.783145,0.095338,:,1.471630,0.130609,2.439696,False
600694-600196,0.512480,1.766011,0.057625,:,1.659346,0.059276,2.337680,False
600830-600694,0.606604,0.212822,0.023679,:,1.722966,0.059418,3.289243,True
600694-600436,0.708316,0.099206,0.035280,:,1.673341,0.048478,3.180756,False
600694-002250,1.266887,-0.477689,0.043555,:,1.741787,0.038860,3.004597,False
600887-600694,0.000213,3.604863,0.040779,:,1.591545,0.051751,3.025957,False
600694-600486,1.442186,-1.760552,0.060091,:,1.550818,0.075480,2.632752,False
600251-600123,0.267903,2.118542,0.027518,:,1.675548,0.066806,3.334178,True
600251-000792,0.712756,0.762719,0.022449,:,1.592563,0.034756,4.461484,True
600256-600251,0.068452,1.856461,0.080909,:,1.477275,0.055293,2.083602,False
600251-600141,0.868661,0.553714,0.022764,:,1.739928,0.040602,3.679973,True
600251-002202,2.334812,-2.530375,0.185887,:,1.473261,0.079599,2.154533,True
600251-000630,0.444113,1.728599,0.022156,:,1.697935,0.037398,3.324532,True
600362-600251,0.171109,2.137683,0.027662,:,1.627340,0.058174,2.867891,True
600251-600188,0.003803,2.704538,0.023815,:,1.747458,0.045479,3.135741,False
600251-000758,0.631900,1.242938,0.018773,:,1.574968,0.056967,3.999168,True
600251-600089,1.016670,0.371733,0.031660,:,1.608682,0.066465,3.295736,True
600251-600197,0.245875,2.143484,0.023317,:,1.734003,0.048100,3.108993,False
600547-600251,0.071940,2.638993,0.057474,:,1.625915,0.105136,3.416907,False
600251-600111,0.429349,1.392368,0.022238,:,1.601071,0.075493,3.797063,False
600251-000878,0.062901,2.585339,0.023837,:,1.755966,0.036984,3.246049,False
600251-000655,0.467863,1.803140,0.022500,:,1.484527,0.081621,3.958996,True
600251-000962,1.176719,0.028601,0.042534,:,1.755545,0.022953,4.768568,True
600251-000960,0.154905,2.346337,0.025540,:,1.769737,0.056173,2.956810,False
002570-000661,-0.097528,3.809807,0.052700,:,1.426669,0.100704,2.561866,False
002570-000915,0.294147,2.339648,0.051437,:,1.595967,0.136818,2.355577,False
002570-000876,0.643372,1.726349,0.052057,:,1.583924,0.046466,2.745192,False
600887-002570,0.407031,2.242190,0.040017,:,1.712652,0.056810,3.369061,False
002378-000826,0.847484,-0.117587,0.034822,:,1.583473,0.050387,3.505857,True
000826-000625,0.549533,2.194765,0.042653,:,1.821482,0.056428,2.469749,False
601139-000826,0.342006,0.770506,0.027556,:,1.579539,0.050005,3.181172,True
600008-000826,0.365381,0.613551,0.052301,:,1.502943,0.077683,2.382526,True
000826-000012,0.413826,2.633572,0.040736,:,1.568405,0.032308,3.366068,False
600108-000826,0.584456,-0.005090,0.037747,:,1.729986,0.027107,3.299228,True
601388-000826,0.120111,1.803953,0.047343,:,1.490188,0.155079,2.578637,True
000826-000338,0.322960,2.562511,0.042217,:,1.802917,0.042150,3.206676,False
002594-000826,0.008167,3.749365,0.149933,:,1.649973,0.161829,2.216542,True
600478-000826,0.315598,2.115190,0.040096,:,1.524956,0.144031,2.464688,True
300090-000826,0.123544,3.114348,0.095117,:,1.943689,0.051121,2.645442,True
002340-000826,0.200542,1.660087,0.065558,:,1.505532,0.336947,2.088722,True
000915-000826,0.411679,1.996653,0.043739,:,1.581470,0.067824,2.990257,True
600209-000826,-0.047885,2.417462,0.065218,:,1.717515,0.068606,2.688977,False
601038-000826,0.561938,0.233106,0.036089,:,1.666936,0.053537,3.094283,True
000826-000049,0.682741,0.617912,0.058353,:,1.640550,0.099345,2.687618,False
600522-000826,0.070726,2.221910,0.097631,:,1.397114,0.122471,2.234551,True
600770-000826,0.076678,2.069558,0.138967,:,1.504466,0.154073,2.099183,False
600690-000826,0.234586,2.158004,0.076435,:,1.447515,0.314489,2.292267,False
600649-000826,0.570561,0.045896,0.039652,:,1.647771,0.074540,3.006960,True
002155-000826,0.189433,1.426771,0.068680,:,1.354531,0.149505,2.921499,True
000826-000581,0.780457,0.907159,0.045802,:,1.711048,0.065929,2.625334,True
600066-000826,0.481078,1.213812,0.038283,:,1.557500,0.047378,2.850634,True
002011-000826,0.583637,0.119749,0.035863,:,1.697777,0.079542,3.764892,True
600674-000826,0.808941,-0.459679,0.034866,:,1.659108,0.060704,2.783277,True
600060-000826,0.732848,-0.144355,0.032482,:,1.594772,0.037492,3.798495,True
002310-000826,0.583975,1.318321,0.038745,:,1.378052,0.070794,3.051840,True
600104-000826,1.363206,-2.182392,0.046661,:,1.765855,0.044340,3.671182,True
000970-000826,0.258748,1.704362,0.070954,:,1.346931,0.251913,2.016591,True
600801-000826,0.651969,0.104297,0.035098,:,1.732003,0.044631,2.913869,True
000826-000651,0.629633,1.361540,0.036371,:,1.636499,0.045027,3.345835,False
600481-000826,0.187438,1.763618,0.069819,:,1.509356,0.057424,2.607761,True
600585-000826,0.377573,1.437998,0.043064,:,1.448057,0.080361,2.060881,True
600874-000826,0.192586,1.433847,0.090759,:,1.329064,0.221567,2.087264,True
600720-600256,0.159032,1.551807,0.043532,:,1.502987,0.302112,2.273446,True
601139-600256,2.017202,-2.155305,0.148805,:,1.450055,0.055776,2.082121,False
600256-000731,0.307078,1.361957,0.074026,:,1.443370,0.101866,2.039950,False
