600312-600089,0.661391,0.568856,0.038001,:,1.500852,0.078464,3.011670,True
600406-600312,0.645634,1.171357,0.036250,:,1.617825,0.047986,3.418046,True
600694-000728,0.303155,2.698371,0.030829,:,1.535009,0.043784,3.944663,True
600694-600266,0.354412,2.540217,0.029078,:,1.782847,0.028952,3.916162,True
600895-600694,0.353860,0.886402,0.056756,:,1.423015,0.057835,3.041199,False
600694-600369,0.131636,3.082412,0.032701,:,1.634988,0.068825,3.825506,True
600694-600120,0.741814,1.459185,0.021346,:,1.612029,0.049483,3.406703,True
600694-600366,0.526467,1.955968,0.027124,:,1.621834,0.086717,3.894309,True
600694-002393,0.453698,1.767786,0.030562,:,1.640981,0.039231,3.398749,True
600694-600389,1.719958,-2.732062,0.120892,:,1.645917,0.068511,2.932269,False
600694-600436,1.744655,-4.775235,0.122473,:,1.433051,0.077855,2.280314,True
600694-002250,1.763607,-1.981612,0.117641,:,1.465668,0.346626,2.430796,True
600830-600694,0.326527,1.237642,0.069668,:,1.752812,0.113393,3.064353,False
600694-600486,0.489728,1.680091,0.038223,:,1.509603,0.053486,3.161728,True
600887-600694,0.213705,3.032523,0.083612,:,1.408686,0.110530,2.563618,False
600251-000792,0.761810,0.596155,0.034392,:,1.727034,0.083177,2.865759,True
600256-600251,0.007586,2.407538,0.042997,:,1.572676,0.056603,5.583595,False
600251-600123,0.919499,0.424561,0.020198,:,1.487613,0.096476,3.836333,True
600251-000630,0.683155,1.132939,0.030635,:,1.730674,0.092429,3.323729,True
600549-600251,0.794872,1.137659,0.031824,:,1.766809,0.035281,4.031358,True
600251-002202,0.541551,1.620714,0.043750,:,1.376817,0.114929,3.168896,False
600251-600141,0.745094,0.871261,0.024446,:,1.704566,0.057176,3.518831,True
600251-600188,0.675004,1.190118,0.032867,:,1.795686,0.032224,3.340881,True
600362-600251,1.204899,-0.602657,0.038715,:,1.726251,0.062602,2.793927,True
600251-000758,0.885309,0.531342,0.033724,:,1.756521,0.033379,3.511057,True
600251-600197,0.124834,2.460399,0.047974,:,1.413610,0.137219,2.524199,False
600547-600251,0.708402,1.072782,0.034291,:,1.573246,0.055565,3.640843,False
600251-600089,0.697232,1.027491,0.036789,:,1.697299,0.065238,3.481185,False
600251-000878,0.795505,0.998504,0.029306,:,1.756189,0.032694,3.635344,True
600251-600111,0.667692,0.581715,0.034246,:,1.755742,0.046256,3.778172,False
600251-000655,0.625880,1.476939,0.031626,:,1.577985,0.070916,3.099211,True
600251-000960,0.830329,0.710890,0.027535,:,1.596228,0.050069,4.036189,True
600251-000962,0.768328,0.979746,0.025205,:,1.567898,0.054877,3.293065,True
002570-000661,0.047956,3.352860,0.124520,:,1.384406,0.158947,2.006378,False
002570-000915,0.324364,2.462419,0.112877,:,1.444159,0.276228,2.215752,False
002570-000876,0.064477,3.411113,0.124292,:,1.414143,0.160758,1.971713,False
