601628-600089,0.607384,1.247406,0.027608,1.623433,0.055271,3.406228
600516-600089,0.735401,0.276238,0.027592,1.59495,0.079062,4.485259
600362-600111,0.839886,0.019985,0.013989,1.617582,0.067042,3.710502
600332-000063,0.764318,1.319014,0.024863,1.692914,0.040577,6.245559
600251-000792,0.712756,0.762719,0.022449,1.592563,0.034756,4.907632
600197-600089,0.204757,1.839854,0.028831,1.60998,0.038983,4.560663
600111-000655,0.861439,1.40024,0.016638,1.593003,0.053134,3.42879
600251-000655,0.467863,1.80314,0.0225,1.484527,0.081621,4.354895
600674-000049,0.105525,1.919508,0.026032,1.722388,0.059124,3.114492
600111-000962,0.338896,2.301086,0.028349,1.861945,0.075831,3.752200
601628-601038,0.213591,2.180164,0.024519,1.457605,0.163531,2.894222
600089-000063,0.620698,0.688247,0.029337,1.764596,0.042749,3.317040
601857-000651,0.29847,1.021872,0.018258,1.681657,0.039472,6.122286
600498-000063,0.908413,0.343483,0.016521,1.614948,0.077042,3.938621
601857-002202,-0.046239,2.134592,0.013437,1.45179,0.040763,9.837412
600362-600332,0.574359,0.70663,0.027009,1.560203,0.089985,5.154669
600111-000630,0.763633,1.382757,0.017691,1.698775,0.077468,3.405760
600251-000758,0.6319,1.242938,0.018773,1.574968,0.056967,4.399084
601038-600108,1.041023,0.076148,0.019659,1.727454,0.044655,6.425167
600141-000792,0.391058,1.425183,0.029547,1.5781,0.037535,3.808907
600251-000630,0.444113,1.728599,0.022156,1.697935,0.037398,3.656985
000792-000063,0.671387,0.993594,0.027344,1.503313,0.092177,4.814373
600251-600141,0.868661,0.553714,0.022764,1.739928,0.040602,4.047970
600895-600830,0.60553,0.577489,0.029687,1.812843,0.057379,3.420909
600085-000423,0.608142,0.756758,0.027958,1.558169,0.061049,3.657414
600362-000063,0.572981,1.115523,0.027298,1.631556,0.033896,3.196475
601857-601038,0.624937,0.659544,0.026421,1.673898,0.059676,3.208310
600251-600123,0.267903,2.118542,0.027518,1.675548,0.066806,3.667595
002428-000768,0.671907,1.132663,0.027218,1.588416,0.093833,3.313351
601238-601038,0.823805,0.236294,0.022606,1.682793,0.065027,4.378820
600516-002011,0.800807,0.232632,0.023743,1.559698,0.068813,3.066158
601139-000651,0.512473,0.231778,0.029945,1.587306,0.058132,4.139059
600830-600694,0.606604,0.212822,0.023679,1.722966,0.059418,3.618167
601857-600332,0.193155,1.393088,0.014475,1.458095,0.061651,8.102460
601139-000581,0.120169,1.56639,0.026553,1.647404,0.070515,3.932889
600830-600369,0.711928,0.635408,0.027806,1.504458,0.110726,2.944937
600118-600100,0.921848,0.765386,0.024515,1.599628,0.057174,3.805987
601318-600089,0.194947,3.215153,0.025034,1.496332,0.088656,3.36748
601857-600739,0.204029,1.471705,0.01532,1.505867,0.046408,6.782475
600000-000063,0.479626,0.973828,0.025907,1.693504,0.051751,2.839304
600111-000768,0.914709,1.050987,0.024667,1.484554,0.066167,3.783869
000630-000063,0.53901,0.816554,0.027039,1.540838,0.071517,5.080794
601628-000063,0.012047,2.617572,0.024011,1.461359,0.104066,3.474964
600000-002202,-0.017158,2.256439,0.025143,1.674596,0.03985,3.56857
601166-000063,0.345934,1.349938,0.028459,1.622371,0.063111,3.205371
600332-600016,0.844993,1.60707,0.021349,1.659176,0.048377,5.865863
601857-000063,0.085655,1.80859,0.013177,1.396238,0.054994,9.126925
600329-000423,0.490372,0.724666,0.026813,1.822984,0.056867,3.359768
601006-000063,0.597749,0.421295,0.02883,1.958447,0.03903,3.905641
601139-000826,0.342006,0.770506,0.027556,1.579539,0.050005,3.499289
601336-002202,-0.158938,3.436878,0.021125,1.506947,0.052084,3.48726
601238-000063,0.707576,0.208517,0.026789,1.704401,0.035861,3.866241
600362-600089,0.512305,1.424145,0.029205,1.564127,0.089786,2.574413
600141-600111,0.603579,0.640024,0.023981,1.326486,0.049827,4.476226
600276-000423,0.573385,1.53267,0.027947,1.605421,0.051667,3.709802
600739-000651,0.79988,0.036345,0.029323,1.602616,0.055412,4.119721
600111-000878,1.032051,0.993046,0.025756,1.401079,0.031586,6.273173
600739-000783,0.834907,0.875069,0.029897,1.675469,0.05366,4.286729
601336-600874,0.098227,2.873142,0.018807,1.724767,0.03842,4.325278
600739-000878,0.711011,1.30652,0.026268,1.557298,0.078168,4.289249
600372-600118,0.909954,0.506535,0.026602,1.64983,0.054826,4.176768
600015-000063,0.783334,0.063637,0.028137,1.6453,0.065561,3.924165
600111-000792,0.84308,0.768061,0.02014,1.802389,0.036551,7.920576
601628-600332,-0.096109,2.966441,0.024238,1.494476,0.044467,3.393671
600062-000423,0.777709,0.207979,0.018908,1.675491,0.044794,3.429889
600111-000758,0.616912,1.639578,0.020097,1.565469,0.09,3.291249
000768-000063,0.803184,0.128246,0.023318,1.683842,0.036809,3.698553
600362-600251,0.171109,2.137683,0.027662,1.62734,0.058174,3.154680
600372-002428,0.685665,1.386068,0.028556,1.615019,0.039606,4.809070
000338-000063,0.544164,1.459865,0.027395,1.681834,0.037709,3.741383
