600895-600694,0.564661,0.056448,0.030552,:,1.627517,0.040039,2.559555,False
600694-600266,0.979861,1.147697,0.036374,:,1.634650,0.034094,2.622119,False
600694-600369,0.675047,1.799753,0.027880,:,1.770299,0.050317,2.849384,False
600694-000728,0.770537,1.562578,0.030344,:,1.489838,0.062987,2.631926,False
600406-600312,1.001195,0.279025,0.053897,:,1.593116,0.115537,2.237870,False
600694-600120,0.915177,1.016789,0.035305,:,1.562744,0.036600,2.471836,False
600694-600389,0.784970,0.475459,0.024179,:,1.535962,0.054160,3.655039,False
600312-600089,0.061575,2.337764,0.101464,:,1.537704,0.062450,2.136619,False
600694-002393,0.765130,0.523469,0.018896,:,1.728505,0.034026,3.417566,False
600694-600522,1.016139,0.783145,0.095338,:,1.471630,0.130609,2.439696,False
600694-600436,0.708316,0.099206,0.035280,:,1.673341,0.048478,3.180756,False
600830-600694,0.606604,0.212822,0.023679,:,1.722966,0.059418,3.289243,True
600694-002250,1.266887,-0.477689,0.043555,:,1.741787,0.038860,3.004597,False
600694-600196,0.512480,1.766011,0.057625,:,1.659346,0.059276,2.337680,False
600694-600366,1.347480,-0.296260,0.120135,:,1.313847,0.343484,2.492868,True
600694-600486,1.442186,-1.760552,0.060091,:,1.550818,0.075480,2.632752,True
600887-600694,0.000213,3.604863,0.040779,:,1.591545,0.051751,3.025957,False
