600547-000758,0.902493,0.715313,0.026861,1.700342,0.12093,2.902895
600887-000728,0.497097,2.514892,0.028446,1.541537,0.047276,3.585979
600739-600547,0.879228,0.300321,0.028526,1.626402,0.098691,4.844326
601857-000731,0.143075,1.729274,0.026431,1.850898,0.075936,3.48867
002594-002440,0.274182,2.858219,0.026364,1.541688,0.044166,4.007307
600372-600118,0.636207,1.301604,0.024128,1.435259,0.064445,5.444599
600547-600016,0.84545,1.138311,0.02895,1.565106,0.072085,2.974184
600765-000425,0.977487,0.570295,0.024845,1.57482,0.082419,4.197756
600111-000758,0.871097,1.061951,0.026389,1.538315,0.042805,2.991198
600372-600100,0.963098,0.930457,0.026261,1.611703,0.060093,7.946174
600066-000581,-0.079706,3.144691,0.02501,1.50764,0.098089,3.132307
600547-600104,0.90541,0.476449,0.02867,1.62028,0.052148,3.652145
600547-000878,0.942621,0.890815,0.020849,1.684689,0.063113,3.584095
600765-000768,0.899488,0.51113,0.016474,1.528932,0.043432,6.916265
600549-600547,0.883107,0.637848,0.026193,1.591109,0.056325,3.543571
600118-600100,0.819265,1.019282,0.029345,1.803078,0.026154,6.605140
600118-002428,0.729442,1.000742,0.026834,1.658222,0.054284,5.45461
600549-600111,0.910464,0.313327,0.027347,1.597366,0.032727,3.039713
