600406-600312,0.583383,1.339253,0.039519,:,1.650114,0.065734,2.729127,False
600312-600089,-0.729117,3.971375,0.044110,:,1.600641,0.060400,2.842972,False
600694-000728,1.072044,0.934455,0.043891,:,1.572250,0.042221,2.511670,False
600895-600694,0.479390,0.442320,0.037973,:,1.442173,0.125705,3.287422,True
600694-600266,0.891515,1.281654,0.026047,:,1.729825,0.044709,4.118584,False
600694-600369,1.502504,-0.034281,0.071573,:,1.845086,0.038767,2.987841,True
600694-600120,0.832951,1.225081,0.018484,:,1.582362,0.056188,3.520925,False
600694-600366,0.495269,2.045614,0.026053,:,1.652865,0.043144,2.891925,True
600694-600389,0.550476,1.406819,0.042421,:,1.661760,0.039312,2.656554,False
600694-002393,1.180227,-0.878854,0.078952,:,1.542128,0.132841,2.383991,True
600694-600436,0.446589,1.313918,0.026665,:,1.697498,0.038119,3.164656,False
600830-600694,0.220204,1.557007,0.032643,:,1.596211,0.091402,4.422401,True
600694-002250,0.722889,1.200631,0.019932,:,1.572468,0.042688,6.071545,False
600887-600694,-0.178928,4.279819,0.022785,:,1.738297,0.040130,5.335604,False
600694-600486,1.307065,-1.233211,0.089964,:,1.667564,0.094141,2.579172,False
600256-600251,-0.043036,2.449374,0.105650,:,1.479043,0.376250,2.095723,True
600251-000792,0.677041,0.827915,0.019143,:,1.705913,0.041666,3.770156,True
600251-600123,0.783834,0.792000,0.036203,:,1.549137,0.111653,2.662901,True
600251-002202,0.716892,1.236581,0.024674,:,1.617662,0.072747,4.447378,True
600251-000630,0.316491,2.002137,0.027405,:,1.641922,0.054738,3.134743,True
600549-600251,0.031691,3.179646,0.055286,:,1.747211,0.045584,2.412942,True
600251-600141,0.820772,0.674542,0.017044,:,1.666806,0.042308,3.254804,True
600251-600188,0.629431,1.311903,0.033216,:,1.490652,0.098391,3.307124,True
600362-600251,0.395280,1.610672,0.025891,:,1.674035,0.064273,2.792410,True
600251-000758,0.341078,1.906363,0.030320,:,1.543729,0.048489,3.384389,True
600251-600197,0.419036,1.733505,0.025716,:,1.621028,0.040468,2.818634,True
600251-600089,0.146580,2.391306,0.030098,:,1.661124,0.048692,3.033068,False
600547-600251,-0.034998,3.058267,0.043935,:,1.969836,0.070719,2.967608,False
600251-600111,0.631260,0.715731,0.044047,:,1.575748,0.069571,3.273449,True
600251-000878,0.180782,2.351802,0.028670,:,1.601300,0.067670,2.899986,False
600251-000655,0.548849,1.630622,0.023035,:,1.734765,0.054572,3.157286,True
600251-000960,0.607038,1.266192,0.025014,:,1.743995,0.082537,3.755921,True
600251-000962,0.879990,0.710244,0.025836,:,1.703758,0.041093,4.206316,True
002570-000915,0.602200,1.409074,0.033599,:,1.561796,0.074845,2.963037,True
002570-000661,-0.037117,3.615219,0.046473,:,1.562263,0.074048,4.306655,False
002570-000876,-0.722979,5.311350,0.046760,:,1.587715,0.061621,3.223061,False
